zone_id_a,zone_id_b,overlap_area_m2,overlap_gt_1m2,action,overlap_pct_zone_a,overlap_pct_zone_b,category,queen_changed,geometry_excluded,decision
col_075ade1e8b735efcac21da8802b37c0a,col_a21a9068f97957a2a0828f64e9102bde,4.590257401601019e-07,False,reported_not_repaired,1.3163773310112482e-10,6.393424366902658e-11,LIKELY_BOUNDARY_ARTIFACT,False,False,retain existing graph; size classification is not proof of correct boundaries
col_145462232cb0506eac0d954b79bb4e67,col_321ef9a198015257a1d0afd095d56686,2.0255436306833115e-07,False,reported_not_repaired,6.151749796448052e-11,9.991746249409436e-11,LIKELY_BOUNDARY_ARTIFACT,False,False,retain existing graph; size classification is not proof of correct boundaries
col_145462232cb0506eac0d954b79bb4e67,col_e38591c35bd05184a3caa0318add5f06,9.575644791903846e-09,False,reported_not_repaired,2.9082054815862556e-12,3.0374292853536573e-12,LIKELY_BOUNDARY_ARTIFACT,False,False,retain existing graph; size classification is not proof of correct boundaries
col_19663fbe37bd50ee8eff60a93705eb35,col_2006d9e5f6975534a01a4ae3d0063ec1,100.61262051199536,True,reported_not_repaired,0.062320041667570894,0.030805416284443353,SMALL_OVERLAP,False,False,retain existing graph; size classification is not proof of correct boundaries
col_19663fbe37bd50ee8eff60a93705eb35,col_92cd6e3f23155eedb10936246b2da76c,3.3639421892615324,True,reported_not_repaired,0.0020836453352995046,0.0003436273891879186,SMALL_OVERLAP,False,False,retain existing graph; size classification is not proof of correct boundaries
col_2006d9e5f6975534a01a4ae3d0063ec1,col_92cd6e3f23155eedb10936246b2da76c,0.0497081443260962,False,reported_not_repaired,1.5219562624452469e-05,5.077697206176543e-06,LIKELY_BOUNDARY_ARTIFACT,False,False,retain existing graph; size classification is not proof of correct boundaries
col_2006d9e5f6975534a01a4ae3d0063ec1,col_a21a9068f97957a2a0828f64e9102bde,3.6268499841681553e-07,False,reported_not_repaired,1.1104633096223391e-10,5.051566619291012e-11,LIKELY_BOUNDARY_ARTIFACT,False,False,retain existing graph; size classification is not proof of correct boundaries
col_2006d9e5f6975534a01a4ae3d0063ec1,col_ba378e9f675c57f6b84cd80ba4906921,0.0933612476121237,False,reported_not_repaired,2.8585202163416204e-05,2.8230768583834647e-05,LIKELY_BOUNDARY_ARTIFACT,False,False,retain existing graph; size classification is not proof of correct boundaries
col_21faee63d17e537f90a501b5c0313a20,col_e426afce41e3549e9144c6ee8c8047dc,1.6037845214058244e-08,False,reported_not_repaired,2.918718699368767e-12,7.186503160201246e-13,LIKELY_BOUNDARY_ARTIFACT,False,False,retain existing graph; size classification is not proof of correct boundaries
col_39b7c034d6a15d22952ae31d1eab536a,col_49351caf73a652ba8bcc7655ce37dd18,6.072667018731405e-07,False,reported_not_repaired,1.698128544401494e-10,4.088049013334506e-11,LIKELY_BOUNDARY_ARTIFACT,False,False,retain existing graph; size classification is not proof of correct boundaries
